WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
a,,᛫ per ᛫,P,~,NE,,
a,,"᛫ ( for verbs denotes away , out , up , on ) ᛫ ( for nouns denotes in , on , at ) ᛫",PREFIX,~,NE,,
aback,,᛫ by surprise ᛫ backward ᛫,AV,~,NE,,
abaft,,᛫ toward or at the stern ᛭ to the rear of ᛫ toward the stern ᛫,AV᛭P,~[beæftan],NE,,
abboten,,᛫ an abbess ᛫,N,abbot+en,NE‹‹I‹H‹O+NE,,
abbotric,,᛫ an abbacy ᛫,N,~,NE‹(O+E),,
abbotship,abbotscip,᛫ abbacy ᛫,N,~,NE‹(I+OE),,[OED]
abide,,᛫ to act in accordance with ᛫ to remain ᛫ to wait ᛫ to wait for ᛫ to await ᛫ to persist ᛫ to reside ᛫ to face ( in combat etc ) ᛫,V,~[abīden][ābīdan],NE,,
abiding,,᛫ enduring ᛫ continuing ᛫,AJ,~,NE,,
abidinghouse,abidinghuse,᛫ an almshouse ᛫ a poorhouse ᛫,N,abiding house,NE,,
abite,,᛫ to bite to death ᛫,V,abīten[abītan],OE,,
abode,,᛫ a place of residence ᛫ residence ᛫ a stay ᛫ a sojourn ᛫,N,~,NE,kin: abide,
about,abute,᛫ around ᛭ around ᛫ surrounding ᛫ in the vicinity of ᛫ approximately ᛫ regarding ᛫ concerned with ᛫,AV᛭PREP,~,NE,,[OED]
aboveboard,abufboard,᛫ transparent ( as in not hidden ) ᛫ legitimate and in the open ᛭ openly and legitimately ᛫,AJ᛭AV,aboveboard,NE,,
abraid,abragd,᛫ to move violently ᛫ to burst forth ᛫ to start up ᛫ to awake ᛫,V,abraid&abreiden,NE&ME,,
abreast,,᛫ to make parallel ᛫ to inform ᛭ informed ᛫ up to speed ᛭ parallel ᛫ alongside ᛫ in touch ᛫ up with ᛫,V᛭AJ᛭P,~,NE,takes: of,
abreethe,abreeðe,᛫ to degenerate ᛫ to deteriorate ᛫,V,abrẹ̄then[abrēoþan],ME,kin: brẹ̄þen,
abrirdness,,᛫ contrition ᛫ compunction ᛫,N,onbrirdnesse,ME,kin: brord (OE),
abroad,,᛫ in or to a foreign country ᛫ away from home ᛫ in different directions ᛫,AV,~,NE,,
abrothen,abroðen,᛫ degenerate ᛫,AJ,abroþen,OE,kin: brothel?,
abrothenness,abroðenness,᛫ degeneracy ᛫,N,abroþenness,OE,,
abuy,abie,᛫ to suffer a penalty ᛫ to atone ᛫ to pay for something ᛫,V,abye[abīen][ābycgan],NE,PST: abought ᛫ PTCP: abought; aboughten,
achar,acear,᛫ ajar ᛫,AV,~,NE,,[OED]
achesoothing,akesooðing,᛫ anodyne ᛫,AJ,ache+soothing,NE×2,,
ack,,᛫ but ᛫ however ᛫ except ᛫,C,ac,ME,,
ackle,ackel,᛫ frightened ᛫ terrified ᛫,AJ,acol,OE,,
acknow,acknoƿ,᛫ to recognize ᛫ to identify ᛫,V,iknouen&gecnāwan,ME&OE,,
acknowledge,acknoƿledg,᛫ to recognize something's validity existence presence or standing ᛫,V,~,NE,,
acknowledging,acknoƿledging,᛫ acknowledgement ᛫,N,~,NE,,
acornshell,acornscell,᛫ a stalkless barnacle ᛫,N,acorn-shell,NE,,[OED]
acost,,᛫ proven ᛫ tried and true ᛫ tested ᛫,AJ,gecost,OE,,
acover,acofer,᛫ to regain something ᛫ to recover ᛫ to revive ᛫ to regain consciousness ᛫,V,acoveren[acofrian],ME,acover up = to rise again,[OED]
acovering,acofering,᛫ recovery ᛫,N,acouerunge,ME,,[OED]
acre,aker,᛫ an English unit of land area ( 4840 square yards ) ᛫,N,~,NE,,
acrechurl,akercerl,᛫ a farmer of the churl class ᛫ a ploughman of the churl class ᛫,N,æcerceorl,OE,rare,
acreman,akerman,᛫ a husbandman ᛫ a ploughman ᛫ a farmer [ᚹ] ᛫,N,akerman,ME,,
acretilth,akertilð,᛫ agriculture ᛫,N,acre+tilth,NE×2,calque: akkerbouw,
addeem,adeem,"᛫ to declare or determine , esp judicially ᛫ to adjudge ᛫",V,~[adēman],NE,,[CED]
adder,,᛫ a viper ᛫,N,~,NE,corruption of: nadder,
adderbiter,,᛫ an ichneumon ᛫ an Egyptian mongoose ᛫ a mongoose [ᚹ] ᛫,N,nǣderbita,OE,,
adderbolt,,᛫ a dragonfly ᛫,N,~,NE,,
adderkin,,᛫ a Serpentes animal ? ᛫,N,nǣdercynn,OE,,
adderwort,adderƿurt,᛫ a Persicaria bistorta plant ᛫,N,~,NE,aka: snakeweed,
addle,addel,᛫ liquid filth ᛭ to confuse ᛫ to muddle ᛭ putrid ᛫ rotten ᛫ idle ᛫ vain ᛫ unsound ᛫,N᛭V᛭AJ,~[adela],NE,,
addle,addel,᛫ to earn ᛫ to gain ᛫ to procure ᛫ to save up money ᛫ to grow ᛫ to thrive ᛫ to flourish ᛫ to yield fruit ᛫,V,~,NE‹ME‹N,,
addled,addelled,᛫ confused ᛫,AJ,~,NE,,
adle,adel,᛫ illness ᛫ ailment ᛫ disease ᛫,N,ā̆dle,ME,,
ado,,᛫ to do away with ᛫ to take away ᛫ subtract ᛫ to remove ᛫,V,ādōn&ādōn,ME&OE,equal to: do off?,
ado,,᛫ trouble ᛫ difficulty ᛫ fuss ᛫ bustling activity ᛫,N,~,NE,,
adread,, ᛫ frightened ᛫ terrified ᛫ scared ᛫ afraid ᛫,AJ,~,NE,,
adrench,adrenc,᛫ to drown ᛫ to sink ᛫ to overwhelm ᛫ to suffocate ᛫,V,adrenchen,ME,,
adwash,adƿasc,᛫ to extinguish ᛫ to blot out ᛫ to delete ᛫ to quench ᛫,V,adweshen,ME,,
afar,,᛫ at a distance ᛫,AV,~,NE,,
afear,,᛫ to frighten ᛫ to terrify ᛫,V,~,NE,,[CED]
afeared,,᛫ frightened ᛫ terrified ᛫ afraid ᛫,AJ,~,NE,,
Affer,,᛫ an African ᛫,N,affer,ME,,
afford,aford,᛫ to be able to pay for ᛫ to provide ᛫,V,~,NE,,
afield,afield,᛫ in a field ᛫ to a field ᛫ away from home ᛫ off-topic ᛫,AV,~,NE,,
afire,,᛫ to castrate ᛫,V,afȳran,OE,,
afired,,᛫ a eunuch ᛫ a castrated animal ᛫,N,afȳrida{afȳrd},OE,,
afoot,,᛫ in action ᛫ in process ᛫ in the area ᛫,AV,~,NE,,
afore,,᛫ before ᛫ in front of ᛫ opposite ᛫,AV&P,afore&afō̆rn,NE&ME,,
aforesaid,aforesaged,᛫ aforementioned ᛫,AJ,~,NE,,
aforetime,,᛫ the past ᛭ past ᛫ previous ᛫,N᛭AJ,~,NE,,[OED]
aforetimes,,᛫ in the past ᛫ previously ᛫,AV,afortimes,ME,or: aforetime,[OED]
afoul,afule,᛫ into conflict or difficulty with ᛫,AV,~,NE,,
afrain,afragn,᛫ to question ᛫,V,afreyne,ME,,[OED]
Africk,,᛫ Africa ᛫,N(P),Affrīk&Affrica,ME&OE,,
aft,,᛫ a stern of a vessel ᛭ located at the back of a vehicle ᛭ at near or towards a vessel's stern ᛫,N᛭AJ᛭AV,~,NE,,
after,,᛫ post- ᛫,PREFIX,~,NE,,
afterbear,,᛫ a descendant ᛫,N,~,NE,,
afterbirth,afterbirð,᛫ a placenta ᛫,N,~,NE,,
afterborn,,᛫ posthumous ( born after father's death ) ᛫,AJ,~,NE,,
afterbrain,afterbragn,᛫ a myelencephalon ᛫,N,~,NE,,
aftercomer,aftercummer,᛫ a successor ᛫,N,aftercomer,NE,,
aftercoming,aftercumming,᛫ a sequel ᛫ a consequence ᛫ a result ᛭ succeeding ᛫,N᛭AJ,~,NE,,
afterdeal,,᛫ a disadvantage ᛫,N,~,NE,,
afterdeath,afterdeað,᛫ post-mortem ᛫,AJ,~,NE,,
afterdoomsday,afterdoomsdag,᛫ post-apocalyptic ᛫,AJ,after+dooms+day,NE×3,,
afterganger,,᛫ a follower ᛫ a successor ᛫,N,æftergenga,OE,,
afterhand,,᛫ subsequently ᛫,AV,~,NE,,
afterling,,᛫ an after follower ᛫ a descendant ᛫,N,~,NE,,
Afterlithe,Afterliðe,᛫ July ᛫,N(P),Æftera Liþa,OE,or: meadmonth (from mǣdmōnaþ)?,
aftermath,aftermað,᛫ consequences ( usually of something bad ) ᛫,N,~,NE,,
aftermidday,aftermiddag,᛫ afternoon ᛫,N,~,NE,,
afters,,᛫ dessert ᛫ sweets ᛫ the last course of a meal ᛫,N,~,NE,,[CED]
afterspeak,,᛫ to claim ( possession ) ᛫,V,æftersprecan,OE,,
afterspeech,afterspeec,᛫ a claim ( of possession ) ᛫,N,æfterspræc,OE,,
aftertime,,᛫ the future ᛫,N,~,NE,,
afterword,afterƿord,᛫ an epilogue ᛫ a postscript ᛫,N,~,NE,,
Afteryule,Aftergeole,᛫ January ᛫,N(P),Æfterra Geola,OE,"spelling analogy: lose; move; whose (avoids awkward ""geool"")",
againbite,agagnbite,᛫ remorse ᛫,N,ayenbite,ME,un-Norse: ayenbite (AS: agenbite),
againbuy,agagnbie,᛫ to ransom ᛫,V,ayẹ̄nbīen,ME,calque: redimere ᛫ un-Norse: ayenbuy/agenbye,
against,agagnst,᛫ versus ᛫ contrary to ᛫ in opposition to ᛫,P,~,NE,,
agame,,᛫ in jest ᛫ jestingly ᛫ playfully ᛫,AV,agame,ME,,
