adwell {"v":["allure","attract"]}
aftercomer {"n":["descendant","successor"]}
andet {"v":["admit","confess"]}
anether {"v":["abase","humiliate"]}
barn-find {"n":["antique","vintage"],"a":["antique"]}
begetting {"n":["generation"],"a":["producing"]}
beswike {"v":["betray","deceive"],"n":["cheat"]}
betighten {"v":["constrict"]}
cride {"n":["taste"]}
daven {"a":["necessary"]}
deemer {"n":["judge"]}
dern {"a":["secret"],"n":["cipher","concealment"]}
dree {"v":["endure","suffer"],"n":["trouble"]}
dretch {"v":["afflict","annoy"],"n":["trouble"]}
dwale {"n":["belladonna","deception","error","heresy"],"a":["anesthetic","delirious"],"v":["perish","stray"]}
dwild {"n":["deception","fault","illusion","lapse"]}
dwine {"v":["decrease","diminish"]}
eady {"a":["joyful","prosperous"]}
edstart {"v":["restart"]}
eftmind {"v":["remind","reminisce"]}
ellen {"n":["comfort","fortitude","valour"],"a":["brave"],"v":["comfort"]}
ethel {"n":["estate"]}
ettin {"n":["giant","jötunn"]}
ettle {"n":["aim","suggestion"],"v":["imply","recommend","suggest"]}
faining {"a":["delightful","joyful","pleasant"],"n":["joy"]}
fand {"v":["attempt","try"],"n":["test"]}
fayness {"n":["difference"]}
ferd {"n":["army","military"]}
folkdom {"n":["nation"]}
folkshire {"n":["province"]}
forbind {"v":["connect"]}
forblow {"v":["inflate"]}
forthink {"v":["suspect"]}
fordwine {"v":["decay","decline","decrease","diminish"]}
forlet {"v":["exit","resign"],"a":["abandoned"]}
forstand {"v":["prevent","protect"]}
forthput {"v":["propose","suggest"],"n":["proposal","suggestion"]}
fremd {"a":["foreign","strange"],"n":["alien","barbarian"]}
frover {"v":["comfort","console"],"n":["comfort"]}
gain- {"x":["counter-","re-"]}
galder {"n":["magic"]}
gesith {"n":["companion","fellow"]}
har {"n":["sire"]}
heleth {"n":["hero"]}
hild {"n":["combat"],"v":["oppose"]}
hiler {"v":["ponder"]}
holdand {"n":["guardian","protector"]}
hote {"v":["address","command"],"a":["entitled"]}
inhold {"v":["contain"],"n":["table of contents","volume"]}
inroads {"n":["advance","progress"]}
inting {"n":["issue","matter"]}
inway {"n":["entry"],"v":["convey"]}
inwit {"n":["conscience"]}
kithe {"v":["announce","narrate"]}
kinword {"n":["cognate"]}
lawmoot {"n":["parliament"]}
lorehouse {"n":["school"]}
lorestead {"n":["museum","university"]}
-ly {"x":["-able"],"a":[]}
meanship {"n":["community"]}
mickleborough {"n":["metropolis"]}
mithe {"v":["avert","avoid","conceal"]}
nease {"v":["ferret","investigate"]}
nift {"n":["grandchild","granddaughter","niece"]}
nithe {"n":["envy","jealousy","oppression"],"v":["envy"],"a":["malicious","malign","vicious"]}
norn {"v":[],"n":["lament"]}
nutlog {"n":["moment","second"]}
oneleppy {"a":["unique","unmarried"]}
ord {"n":["origin","place","point"]}
orlay {"n":["war"]}
outway {"n":["exit","resort"]}
overgive {"v":["cede","surrender"],"n":["abandon"]}
redeship {"n":["government"]}
sam {"v":["assemble","collect"]}
shedwise {"a":["rational","reasonable","sagacious"]}
soothly {"r":["actually","certainly","really","verily"],"i":["amen"],"x":["fact"],"a":["very"]}
stalworth {"a":["brave","valiant"]}
thede {"n":["nation","people"]}
tiding {"n":["message","newspaper"]}
thrutch {"v":["press","push"],"n":["pressure","stress"]}
thware {"v":["tolerate"]}
umbethinking {"n":["reminder"]}
underhold {"v":["maintain","sustain"]}
ween {"v":["expect","imagine","suppose"]}
wis {"a":["certain","sure"],"v":["direct"]}
witherling {"n":["adversary","antagonist","opponent"]}
wough {"n":["wall"],"a":["inaccurate"]}
wulder {"n":["glory","praise"]}
yare {"a":["agile"],"v":["accelerate"]}
forsaken {"a":["abandoned","vacant"]}
bouk {"n":["abdomen","torso"]}
mislike {"v":["abhor","dislike"],"n":["antipathy"]}
-some {"x":[],"a":["comfortable"]}
-ingly {"x":["-able"]}
furbing {"n":["laundry"]}
fordo {"v":["abolish","destroy"]}
forshorten {"v":["curtail"]}
offwardness {"n":["absence"]}
offward {"a":["absent","distant"]}
unanswering {"a":["unresponsive"]}
forhaveness {"n":["self-restraint"]}
fallenly {"a":["accidental"]}
smittle {"v":["contaminate"]}
netherly {"a":["low"]}
learnedom {"n":["academia","authority"]}
lorekeep {"n":["record"]}
loreman {"n":["educator","scholar"]}
tungfall {"n":["accent","dialect"]}
thave {"v":["accept","agree","allow","consent","permit"],"n":["permission"]}
thewsome {"a":["muscular"]}
quemely {"a":["pleasing"]}
bringing-forth {"n":["accomplishment"]}
thaving {"n":["agreement"]}
thwaring {"n":["agreement","consent"]}
spot-on {"a":["accurate","precise"],"n":["fine"]}
forwray {"v":["accuse","calumniate","falsely accuse"]}
adj {"a":["acid","clear","frequent","indifferent","secret","super"],"n":[]}
awin {"v":["acquire","capture","obtain"],"n":["war"]}
avel {"v":["gain","devise"]}
thwarse {"r":["across"],"v":["cross","cruise"]}
behaving {"n":["act","action"]}
doing {"n":["action"]}
snell {"a":["active","rapid"],"n":["dynamic"]}
hopping {"a":["active"]}
tied-up {"a":["occupied"]}
doughty {"a":["brave","courageous","valiant"]}
echtly {"r":["really"]}
in the year of our lord {"r":["A.D."]}
eke {"v":["add","augment","increase"],"r":[],"a":[]}
cast up {"v":["add up","sum"]}
togive {"n":["gift","grant"]}
cleave to {"v":["adhere"]}
thewfastness {"n":["morality"]}
shiredom {"n":["administration"]}
shirecraft {"n":["administration","politics"]}
richdom {"n":["empire"]}
bewonder {"v":["admire","astonish"]}
etc {"v":["admit"],"n":["current"],"x":["-ism"]}
hallowing {"n":["Sacrament"]}
wedbreach {"a":["adultery"],"n":["divorce","infidelity"]}
put forth {"v":["present","propose","suggest"]}
forthgo {"v":["advance","continue","proceed"]}
furthering {"n":["advancement","extension"]}
foredeal {"n":["advantage","benefit"]}
frimful {"a":["useful"]}
free-swinging {"a":["adventurous","venturesome"]}
thwartsome {"n":["adversarial"]}
gainsaying {"n":["contradiction"]}
withersake {"n":["adversary"]}
forespeech {"n":["advocacy"]}
loftcraft {"n":["airplane"]}
undead {"n":["zombie"]}
